Name,Channel,Date of Joining YouTube,"Total Subscribers as of August 25, 2019",Total Views of videos
T-Series,https://www.youtube.com/user/tseries,"Mar 13, 2006",109633183,80569766624
Amit Bhadana,https://www.youtube.com/channel/UC_vcKmg67vjMP7ciLnSxSHQ,"Oct 24, 2012",16270475,1162369520
BB Ki Vines,https://www.youtube.com/channel/UCqwUrj10mAEsqezcItqvwEw,"Jun 20, 2015",14772407,1934909338
Ashish Chanchlani,https://www.youtube.com/user/ashchanchlani,"Jul 6, 2009",13835569,1345662388
Technical Guruji,https://www.youtube.com/channel/UCOhHO2ICt0ti9KAh-QHvttQ,"Oct 18, 2015",13733240,1361210456
Sandeep Maheshwari,https://www.youtube.com/channel/UCBqFKDipsnzvJdt6UT0lMIg,"Feb 13, 2012",11735230,630930604
Carry Minati,https://www.youtube.com/user/AddictedA1,"Oct 30, 2014",7836403,728181405
Nisha Madhulika,https://www.youtube.com/user/NishaMadhulika,"Aug 2, 2009",7517902,1402896649
The Viral Fever,https://www.youtube.com/user/TheViralFeverVideos,"Mar 14, 2011",6443055,698761599
Sanam,https://www.youtube.com/user/SQSProject,"Aug 2, 2012",6383048,1141914704
FilterCopy,https://www.youtube.com/channel/UC7IMq6lLHbptAnSucW1pClA,"Sep 4, 2015",5853775,1237608164
Kabita's Kitchen,https://www.youtube.com/channel/UCChqsCRFePrP2X897iQkyAA,"Oct 7, 2014",5460067,829474975
The Timeliners,https://www.youtube.com/channel/UCTlnaHHQ75zlDg_fLr7tGEg,"Feb 1, 2014",5414167,596104274
So Effin Cray,https://www.youtube.com/channel/UCOquMs0QXyjbw2YMigivRAw,"Feb 13, 2015",4581669,659475856
MostlySane (Prajakta Koli),https://www.youtube.com/channel/UCvCyIiKSCA1fHKSCOKJyjXA,"Feb 10, 2015",4188515,464191026
The Screen Patti,https://www.youtube.com/channel/UCNyeSfUfffmJXwA2_tmNG9A,"Apr 9, 2015",4148379,447161818
Girliyapa,https://www.youtube.com/channel/UCdxbhKxr8pyWTx1ExCSmJRw,"Jul 21, 2015",3817882,267912514
ActorVarunPruthi,https://www.youtube.com/channel/UC5GMWJmrR0LDUQ8MojJyXEQ,"Jan 6, 2012",3808137,482925261
All India Bakchod,https://www.youtube.com/user/allindiabakchod,"Jan 29, 2012",3549984,416184237
LShokeen Films,https://www.youtube.com/channel/UCsLOXfgwzeLAl9E-6Flu3Bg,"May 31, 2015",3028420,548390287
Gajendra Verma,https://www.youtube.com/channel/UCy436qLXlyLqddExVC64auw,"Jan 19, 2015",2573222,469582870
Gaurav Chaudhary,https://www.youtube.com/channel/UCXsXitjiT_8qPgNEFGPVfBA,"May 7, 2017",2518226,98670656
Aashqeen,https://www.youtube.com/channel/UCc3b8uaQNySMagDbHsm52Tg,"Jan 26, 2015",2358778,207380297
2 Foreigners In Bollywood,https://www.youtube.com/channel/UCnuen5DBNNREHhvC-VY296Q,"Apr 6, 2016",2271771,151487461
Dino James,https://www.youtube.com/channel/UCtpDorOuxwQ1URGQ0WLIXmQ,"Aug 27, 2011",2230739,124429273
Dice Media,https://www.youtube.com/channel/UCC89oVFqenaffhBoyqxd6qw,"Apr 27, 2015",2120610,217131797
FULL ENTERTAINMENT,https://www.youtube.com/channel/UCWqa3TpJEF-HaZOtWYfrNcQ,"Feb 9, 2013",2000686,517713297
Shudh Desi Endings,https://www.youtube.com/channel/UCF-aIi0zXNwZZucGtWk4pug,"Sep 9, 2013",1978742,319281818
Half Engineer,https://www.youtube.com/channel/UCNLGvPguokaRr6TgMgP1txg,"May 20, 2013",1604719,134398516
Arré,https://www.youtube.com/channel/UC2O-N1R4x56XhndL4qqfKcw,"Oct 15, 2015",1475608,177077076
Swagger Sharma,https://www.youtube.com/channel/UCGu3oftYZmB-DKGlbR8Yrpw,"Feb 25, 2017",1436843,100673567
Hadd BC,https://www.youtube.com/channel/UCMwrTNjz2N3i6QBBlFPnNPw,"Aug 1, 2016",1395912,112864001
Hasley India,https://www.youtube.com/channel/UCgM1AQcoM5TRlzsm1e66vrQ,"Sep 24, 2015",1328317,110183338
DIVINE,https://www.youtube.com/channel/UCFX8go5jeQ_9_Pk9WFl5tmA,"Feb 16, 2012",1274781,70293552
Rishhsome,https://www.youtube.com/channel/UCz6l7YPnfyxvbVD7LVuNEow,"May 22, 2016",1139777,100797270
Jack Shukla Live,https://www.youtube.com/channel/UCL1zP3p4AvcwnylzLdAVJiQ,"Aug 9, 2018",1022291,71657253
